X,Y,TYPE
7.127688,43.628345,Formula1
2.621208,48.951199,Formula1
2.516594,48.968266,Formula1
2.37697,48.777753,Formula1
2.80949,48.866776,kyrad
5.413109,43.522592,kyrad
2.117299,43.918588,kyrad
2.302845,49.923896,kyrad
-0.513627,47.437379,kyrad
0.18549,45.719284,kyrad
6.122969,45.897076,kyrad
6.090407,45.891606,kyrad
6.268019,46.198007,kyrad
7.094992,43.601011,kyrad
2.278168,48.749714,kyrad
-1.163621,44.661907,kyrad
2.326375,48.807295,kyrad
2.230293,48.943218,kyrad
4.637701,43.662889,kyrad
3.526613,47.868246,kyrad
4.847731,43.927417,kyrad
4.805883,43.950005,kyrad
4.85116,43.926064,kyrad
4.845376,47.010629,kyrad
2.109328,49.409492,kyrad
6.857289,47.633761,kyrad
0.444674,44.83368,kyrad
5.993172,47.270187,kyrad
2.581613,50.496089,kyrad
1.370024,47.563995,kyrad
2.484747,48.766978,kyrad
-0.510533,44.876377,kyrad
-0.557112,44.828015,kyrad
-0.56386,44.889214,kyrad
5.225359,46.208697,kyrad
2.347245,47.051396,kyrad
5.246649,45.592913,kyrad
-4.475624,48.396795,kyrad
6.062161,43.412077,kyrad
1.541819,45.166194,kyrad
1.474075,45.146083,kyrad
-0.363289,49.181314,kyrad
-0.391011,49.202008,kyrad
-0.340024,49.146976,kyrad
1.428592,44.467925,kyrad
1.835186,50.963125,kyrad
1.798937,50.933899,kyrad
7.026876,43.553291,kyrad
6.962139,43.549422,kyrad
-1.22086,49.301893,kyrad
2.280174,43.611601,kyrad
2.068285,49.045209,kyrad
2.040438,49.054216,kyrad
4.854968,46.785325,kyrad
2.461649,49.204313,kyrad
1.537284,48.446288,kyrad
1.698951,46.797509,kyrad
-1.655183,49.654184,kyrad
3.080402,45.773478,kyrad
3.137985,45.783209,kyrad
7.349437,48.076807,kyrad
2.257528,48.93318,kyrad
2.8031,49.43141,kyrad
2.456977,48.783594,kyrad
-1.067273,43.729202,kyrad
0.080453,49.350675,kyrad
5.018957,47.282203,kyrad
5.04501,47.272711,kyrad
5.029733,47.323413,kyrad
5.080281,47.313386,kyrad
5.10583,47.31078,kyrad
5.03145,47.323496,kyrad
2.201645,50.995802,kyrad
3.969455,49.041022,kyrad
6.442345,48.177616,kyrad
1.146686,49.004508,kyrad
6.727098,43.426489,kyrad
0.968494,44.497204,kyrad
6.057254,44.540786,kyrad
6.026024,46.252005,kyrad
5.786393,45.207012,kyrad
5.656106,45.247075,kyrad
5.742419,45.16529,kyrad
5.694912,45.159107,kyrad
0.227618,49.412518,kyrad
0.652719,48.181304,kyrad
-1.444287,46.671294,kyrad
-2.512525,48.466413,kyrad
-4.055979,48.519005,kyrad
-3.45799,48.749001,kyrad
-0.769634,48.058691,kyrad
2.430674,48.93982,kyrad
0.132145,49.492824,kyrad
0.180038,49.533603,kyrad
0.223914,47.998196,kyrad
2.196863,48.677623,kyrad
-0.257588,44.910415,kyrad
3.068114,50.637196,kyrad
2.97485,50.646811,kyrad
1.296948,45.817284,kyrad
5.073183,45.717023,kyrad
4.826243,45.779512,kyrad
4.826931,45.744913,kyrad
4.9325,45.732686,kyrad
5.014343,45.698185,kyrad
4.920313,45.777015,kyrad
4.819591,45.904123,kyrad
4.771569,45.58678,kyrad
4.786131,45.676181,kyrad
4.845589,46.33588,kyrad
5.280333,43.416717,kyrad
5.375178,43.29491,kyrad
5.386097,43.283876,kyrad
5.399281,43.280013,kyrad
5.617682,43.278984,kyrad
5.034002,43.398521,kyrad
2.288901,48.732309,kyrad
2.907568,48.956698,kyrad
2.671937,48.553182,kyrad
7.493699,43.779616,kyrad
6.178953,49.113797,kyrad
2.657466,48.838919,kyrad
2.599565,48.880589,kyrad
2.673854,48.86189,kyrad
2.733336,47.976407,kyrad
1.389896,44.045824,kyrad
6.813069,47.513599,kyrad
4.750479,44.561181,kyrad
2.600701,46.344315,kyrad
3.936969,43.590288,kyrad
3.889425,43.612215,kyrad
4.148914,43.684381,kyrad
3.821099,43.680317,kyrad
3.680154,43.471622,kyrad
3.327655,46.565688,kyrad
7.338002,47.748092,kyrad
7.29201,47.758992,kyrad
7.388705,47.771279,kyrad
6.177327,48.615684,kyrad
-1.544845,47.217477,kyrad
-1.661983,47.143017,kyrad
2.783035,48.283051,kyrad
3.15399,46.99781,kyrad
3.128287,47.048517,kyrad
7.193599,43.71079,kyrad
7.265049,43.705499,kyrad
7.20338,43.767288,kyrad
7.283295,43.700605,kyrad
4.36357,43.838183,kyrad
4.342451,43.818179,kyrad
-0.397573,46.339808,kyrad
1.858616,47.950681,kyrad
1.852246,47.899307,kyrad
1.916916,47.845287,kyrad
2.347116,48.756507,kyrad
2.36973,48.715708,kyrad
-0.774301,43.489691,kyrad
2.303724,48.903815,kyrad
2.347425,48.878095,kyrad
2.336156,48.881199,kyrad
2.262541,48.898211,kyrad
2.243123,48.879217,kyrad
2.375774,48.819703,kyrad
2.324276,48.817578,kyrad
2.356231,48.879642,kyrad
2.380703,48.860882,kyrad
2.388575,48.834304,kyrad
2.354989,48.833816,kyrad
2.323175,48.830501,kyrad
2.375837,48.889576,kyrad
2.304383,48.831693,kyrad
2.287879,48.846607,kyrad
-0.385421,43.330407,kyrad
0.780546,45.195209,kyrad
2.895977,42.701977,kyrad
1.955783,48.806414,kyrad
2.062973,48.948181,kyrad
5.426065,43.528492,kyrad
-0.664121,44.857976,kyrad
3.083286,45.771395,kyrad
2.475654,48.820024,kyrad
2.464783,48.949883,kyrad
2.451482,48.963618,kyrad
4.841934,45.756913,kyrad
3.873894,43.578316,kyrad
2.229554,48.851163,kyrad
-0.364255,43.298397,kyrad
-0.364266,43.298378,kyrad
2.513758,48.997206,kyrad
7.715943,48.613071,kyrad
4.030839,49.258321,kyrad
4.06892,49.234276,kyrad
4.013427,49.2845,kyrad
-1.673018,48.103912,kyrad
-1.703929,48.130924,kyrad
-1.623658,48.097799,kyrad
2.581912,44.36201,kyrad
2.510998,48.972699,kyrad
1.081173,49.441407,kyrad
1.097626,49.469523,kyrad
-2.720681,48.490825,kyrad
4.40583,45.441678,kyrad
-2.004913,48.655509,kyrad
-2.034309,48.614,kyrad
-0.66334,45.740219,kyrad
-0.082493,47.259324,kyrad
7.735415,48.585301,kyrad
7.685685,48.558318,kyrad
0.042175,43.206203,kyrad
6.163904,49.360402,kyrad
6.027601,43.136712,kyrad
1.371576,43.640997,kyrad
1.456876,43.60171,kyrad
0.723231,47.386725,kyrad
0.691391,47.383482,kyrad
4.888932,44.958525,kyrad
-2.765019,47.658996,kyrad
1.440907,49.105404,kyrad
2.32479,48.940384,kyrad
5.590778,45.362796,kyrad
